-43-DB  :Shenzhen ViewAt Technology Co.,Ltd. 
-19-EF  :SHENZHEN LINNKING ELECTRONICS CO.,LTD
-19-F1  :Star Communication Network Technology Co.,Ltd
-19-F6  :Acconet (PTE) Ltd
-1A-76  :SDT information Technology Co.,LTD.
-1A-6F  :MI.TEL s.r.l.
-1A-6A  :Tranzas, Inc.
-1A-63  :Elster Solutions, LLC,
-1A-5E  :Thincom Technology Co.,Ltd
-1A-57  :Matrix Design Group, LLC
-1A-5C  :Euchner GmbH+Co. KG
-1A-50  :PheeNet Technology Corp.
-1A-9D  :Skipper Wireless, Inc.
-1A-A2  :Cisco Systems, Inc
-1A-91  :FusionDynamic Ltd.
-1A-96  :ECLER S.A.
-1A-90  :TrÃ³pico Sistemas e TelecomunicaÃ§Ãµes da AmazÃ´nia LTDA. 
-1A-8C  :Sophos Ltd
-1A-85  :NV Michel Van de Wiele
-1A-87  :Canhold International Limited
-1A-86  :AdvancedIO Systems Inc
-19-B5  :Famar Fueguina S.A.
-19-BA  :Paradox Security Systems Ltd
-19-A2  :ORDYN TECHNOLOGIES
-19-AE  :Hopling Technologies b.v.
-19-A7  :ITU-T
-19-96  :TurboChef Technologies Inc.
-19-9B  :Diversified Technical Systems, Inc.
-19-91  :avinfo
-19-8A  :Northrop Grumman Systems Corp.
-19-8C  :iXSea
-19-85  :IT Watchdogs, Inc
-19-6B  :Danpex Corporation
-19-66  :Asiarock Technology Limited
-19-5C  :Innotech Corporation
-19-61  :Blaupunkt  Embedded Systems GmbH
-19-DE  :MOBITEK
-19-EA  :TeraMage Technologies Co., Ltd.
-19-D0  :Cathexis
-19-D7  :FORTUNETEK CO., LTD
-19-B3  :Stanford Research Systems
-1A-44  :JWTrading Co., Ltd
-1A-49  :Micro Vision Co.,LTD
-1A-3D  :Ajin Vision Co.,Ltd
-1A-31  :SCAN COIN Industries AB
-1A-38  :Sanmina-SCI
-1A-2C  :SATEC Co.,LTD
-1A-27  :Ubistar
-17-AE  :GAI-Tronics
-17-A2  :Camrivox Ltd.
-17-A7  :Mobile Computing Promotion Consortium
-17-9D  :Kelman Limited
-17-91  :LinTech GmbH
-17-96  :Rittmeyer AG
-17-98  :Azonic Technology Co., LTD
-17-8A  :DARTS TECHNOLOGIES CORP.
-17-7E  :Meshcom Technologies Inc.
-17-85  :Sparr Electronics Ltd
-18-09  :CRESYN
-18-0E  :Avega Systems
-18-10  :IPTrade S.A.
-17-F6  :Pyramid Meriden Inc.
-17-FB  :FA
-17-FD  :Amulet Hotkey
-17-EF  :IBM Corp
-17-D7  :ION Geophysical Corporation Inc.
-17-DC  :DAEMYUNG ZERO1
-17-DE  :Advantage Six Ltd
-18-C3  :CS Corporation
-18-CA  :Viprinet GmbH
-18-BE  :ANSA Corporation
-18-B2  :ADEUNIS RF
-18-B7  :D3 LED, LLC
-18-AB  :BEIJING LHWT MICROELECTRONICS INC.
-18-A6  :Persistent Systems, LLC
-18-95  :Hansun Technologies Inc.
-18-9A  :HANA Micron Inc.
-18-E7  :Cameo Communications, INC.
-18-EE  :Videology Imaging Solutions, Inc.
-18-E2  :Topdata Sistemas de Automacao Ltda
-18-DB  :EPL Technology Ltd
-18-E0  :ANAVEO
-18-CF  :Baldor Electric Company
-18-D4  :Unified Display Interface SIG
-18-4A  :Catcher, Inc.
-18-4C  :Bogen Communications
-18-45  :Pulsar-Telecom LLC.
-18-3E  :Digilent, Inc
-18-28  :e2v technologies (UK) ltd.
-18-2D  :Artec Design
-18-21  :SINDORICOH
-18-15  :GZ Technologies, Inc.
-18-1C  :Exterity Limited
-17-72  :ASTRO Strobel Kommunikationssysteme GmbH
-17-77  :Obsidian Research Corporation
-17-6E  :DUCATI SISTEMI
-17-62  :Solar Technology, Inc.
-17-69  :Cymphonix Corp
-17-5D  :Dongseo system.
-17-5B  :ACS Solutions Switzerland Ltd.
-17-56  :Vinci Labs Oy
-17-4F  :iCatch Inc.
-17-CD  :CEC Wireless R&D Ltd.
-17-D2  :THINLINX PTY LTD
-17-C6  :Cross Match Technologies Inc
-17-BA  :SEDO CO., LTD.
-17-BF  :Coherent Research Limited
-17-C1  :CM Precision Technology LTD.
-17-B3  :Aftek Infosys Limited
-18-6A  :Global Link Digital Technology Co,.LTD
-18-6F  :Setha Industria Eletronica LTDA
-18-76  :WowWee Ltd.
-18-69  :KINGJIM
-18-64  :Eaton Corporation
-18-5D  :TAIGUEN TECHNOLOGY (SHEN-ZHEN) CO., LTD.
-18-51  :SWsoft
-18-58  :TagMaster AB
-18-9F  :Lenntek Corporation
-18-8E  :Ekahau, Inc.
-18-87  :Metasystem SpA
-18-89  :WinNet Solutions Limited
-18-7B  :4NSYS Co. Ltd.
-16-61  :Novatium Solutions (P) Ltd
-16-63  :KBT Mobile
-16-68  :Eishin Electronics
-16-62  :Liyuh Technology Ltd.
-16-5C  :Trackflow Ltd
-16-55  :FUHO TECHNOLOGY Co., LTD
-15-E4  :Zimmer Elektromedizin
-15-DA  :IRITEL A.D.
-15-DF  :Clivet S.p.A.
-15-D3  :Pantech&Curitel Communications, Inc.
-15-C7  :Cisco Systems, Inc
-15-C0  :DIGITAL TELEMEDIA CO.,LTD.
-15-BA  :iba AG
-17-4A  :SOCOMEC
-17-43  :Deck Srl
-17-3D  :Neology
-17-3E  :LeucotronEquipamentos Ltda.
-17-38  :International Business Machines
-17-2C  :TAEJIN INFOTECH
-17-20  :Image Sensing Systems, Inc.
-17-25  :Liquid Computing
-17-01  :KDE, Inc.
-17-03  :MOSDAN Internation Co.,Ltd
-16-FC  :TOHKEN CO.,LTD.
-16-F0  :Dell
-16-F5  :Dalian Golden Hualu Digital Technology Co.,Ltd
-16-E9  :Tiba Medical Inc
-16-E4  :VANGUARD SECURITY ENGINEERING CORP.
-16-DD  :Gigabeam Corporation
-16-E2  :American Fibertek, Inc.
-16-D8  :Senea AB
-16-9C  :Cisco Systems, Inc
-16-9E  :TV One Ltd
-16-A3  :Ingeteam Transmission&Distribution, S.A.
-16-90  :J-TEK INCORPORATION
-16-97  :NEC Corporation
-16-89  :Pilkor Electronics Co., Ltd
-16-8B  :Paralan Corporation
-16-84  :Donjin Co.,Ltd.
-16-7D  :Sky-Line Information Co., Ltd.
-16-78  :SHENZHEN BAOAN GAOKE ELECTRONICS CO., LTD
-16-49  :SetOne GmbH
-16-3F  :CReTE SYSTEMS Inc.
-16-38  :TECOM Co., Ltd.
-16-33  :Oxford Diagnostics Ltd.
-16-2C  :Xanboo
-16-27  :embedded-logic DESIGN AND MORE GmbH
-16-19  :Lancelan Technologies S.L.
-16-14  :Picosecond Pulse Labs
-17-19  :Audiocodes USA, Inc
-17-1E  :Theo Benning GmbH & Co. KG
-17-12  :ISCO International
-17-0D  :Dust Networks Inc.
-16-0F  :BADGER METER INC
-16-0A  :SWEEX Europe BV
-16-03  :COOLKSKY Co., LTD
-15-F7  :Wintecronics Ltd.
-15-F0  :EGO BV
-15-EA  :Tellumat (Pty) Ltd
-16-C5  :Shenzhen Xing Feng Industry Co.,Ltd
-16-C7  :Cisco Systems, Inc
-16-CC  :Xcute Mobile Corp.
-16-C0  :Semtech Corporation
-16-B4  :Private
-16-A8  :CWT CO., LTD.
-16-AD  :BT-Links Company Limited
-15-53  :Cytyc Corporation
-15-55  :DFM GmbH
-15-4E  :IEC
-15-47  :AiZen Solutions Inc.
-15-42  :MICROHARD S.R.L.
-15-3B  :EMH metering GmbH & Co. KG
-15-34  :A BeltrÃ³nica-Companhia de ComunicaÃ§Ãµes, Lda
-14-40  :ATOMIC Corporation
-14-39  :Blonder Tongue Laboratories, Inc.
-14-34  :Keri Systems, Inc
-14-2D  :Toradex AG
-14-26  :NL Technology
-14-21  :Total Wireless Technologies Pte. Ltd.
-14-1C  :Cisco Systems, Inc
-15-83  :IVT corporation
-15-7E  :WeidmÃ¼ller Interface GmbH & Co. KG
-15-79  :Lunatone Industrielle Elektronik GmbH
-15-74  :Horizon Semiconductors Ltd.
-15-66  :A-First Technology Co., Ltd.
-15-61  :JJPlus Corporation
-15-5A  :DAINIPPON PHARMACEUTICAL CO., LTD.
-15-54  :Atalum Wireless S.A.
-15-28  :Beacon Medical Products LLC d.b.a. BeaconMedaes
-15-21  :Horoquartz
-15-23  :Meteor Communications Corporation
-15-22  :Dea Security
-15-1C  :LENECO
-15-12  :Zurich University of Applied Sciences
-15-0B  :SAGE INFOTECH LTD.
-15-06  :Neo Photonics
-14-FF  :Precise Automation, Inc.
-14-F8  :Scientific Atlanta
-14-F3  :ViXS Systems Inc
-14-E7  :Stolinx,. Inc
-14-EC  :Acro Telecom
-14-E2  :datacom systems inc.
-14-D6  :Jeongmin Electronics Co.,Ltd.
-14-DB  :Elma Trenew Electronic GmbH
-14-DD  :Covergence Inc.
-14-DC  :Communication System Design & Manufacturing (CSDM)
-14-CF  :INVISIO Communications
-14-CA  :Key Radio Systems Limited
-14-C3  :Seagate Technology
-14-BC  :SYNECTIC TELECOM EXPORTS PVT. LTD.
-14-B7  :AR Infotek Inc.
-14-AD  :Gassner Wiege- und MeÃtechnik GmbH
-14-B2  :mCubelogics Corporation
-14-A6  :Teranetics, Inc.
-14-9F  :System and Chips, Inc.
-14-A1  :Synchronous Communication Corp
-14-70  :Prokom Software SA
-14-69  :Cisco Systems, Inc
-14-62  :Digiwell Technology, inc
-14-5D  :WJ Communications, Inc.
-14-50  :Heim Systems GmbH
-14-56  :Edge Products
-14-4C  :General Meters Corp.
-14-45  :Telefon-Gradnja d.o.o.
-14-47  :BOAZ Inc.
-14-46  :SuperVision Solutions LLC
-15-B3  :Caretech AB
-15-A9  :KWANG WOO I&C CO.,LTD
-15-9D  :Tripp Lite 
-15-91  :RLW Inc.
-15-8A  :SURECOM Technology Corp.
-15-8F  :NTT Advanced Technology Corporation
-15-90  :Hectronic GmbH
-14-A0  :Accsense, Inc.
-14-93  :Systimax Solutions
-14-8E  :Tele Power Inc.
-14-87  :American Technology Integrators
-14-82  :Aurora Networks
-14-81  :Multilink Inc
-14-7C  :3Com Ltd
-14-75  :Wiline Networks, Inc.
-12-E7  :Projectek Networking Electronics Corp.
-12-E8  :Fraunhofer IMS
-12-DB  :ZIEHL industrie-elektronik GmbH + Co KG
-12-E2  :ALAXALA Networks Corporation
-12-D6  :Jiangsu Yitong High-Tech Co.,Ltd
-12-D5  :Motion Reality Inc.
-12-C3  :WIT S.A.
-13-E5  :TENOSYS, INC.
-13-EA  :Kamstrup A/S
-13-DE  :Adapt4, LLC
-13-D7  :SPIDCOM Technologies SA
-13-D8  :Princeton Instruments
-13-CF  :4Access Communications
-13-D2  :PAGE IBERICA, S.A.
-13-C9  :Beyond Achieve Enterprises Ltd.
-13-C2  :WACOM Co.,Ltd
-13-BD  :HYMATOM SA
-13-B8  :RyCo Electronic Systems Limited
-13-4E  :Valox Systems, Inc.
-13-53  :HYDAC Filtertechnik GMBH
-13-4D  :Inepro BV
-13-47  :Red Lion Controls, LP
-13-3B  :Speed Dragon Multimedia Limited
-13-40  :AD.EL s.r.l.
-13-2E  :ITian Coporation
-13-28  :Westech Korea Inc.,
-13-2D  :iWise Communications
-13-34  :Arkados, Inc.
-13-B3  :Ecom Communications Technology Co., Ltd.
-13-AC  :Sunmyung Electronics Co., LTD
-13-A6  :Extricom Ltd
-13-A5  :General Solutions, LTD.
-13-A0  :ALGOSYSTEM Co., Ltd.
-13-99  :STAC Corporation.
-13-93  :Panta Systems, Inc.
-13-94  :Infohand Co.,Ltd
-13-8D  :Kinghold
-12-C8  :Perfect tech
-12-B9  :Fusion Digital Technology
-12-BE  :Astek Corporation
-12-AC  :ONTIMETEK INC.
-12-AB  :WiLife, Inc.
-12-B2  :AVOLITES LTD.
-12-A6  :Dolby Australia
-13-78  :Qsan Technology, Inc.
-13-7D  :Dynalab, Inc.
-13-84  :Advanced Motion Controls
-13-7E  :CorEdge Networks, Inc.
-13-6C  :TomTom
-13-6B  :E-TEC
-13-59  :ProTelevision Technologies A/S
-13-5E  :EAB/RWI/K
-12-9F  :RAE Systems
-12-99  :Ktech Telecommunications Inc
-12-9A  :IRT Electronics Pty Ltd
-12-8C  :Woodward Governor
-12-93  :GE Energy
-12-87  :Digital Everywhere Unterhaltungselektronik GmbH
-12-80  :Cisco Systems, Inc
-13-1E  :Peiker acustic GmbH & Co. KG
-13-23  :Cap Co., Ltd.
-13-0B  :Mextal B.V.
-13-12  :Amedia Networks Inc.
-12-F8  :WNI Resources, LLC
-12-FF  :Lely Industries N.V.
-13-04  :Flaircomm Technologies Co. LTD
-14-10  :Suzhou Keda Technology CO.,Ltd
-14-17  :RSE Informations Technologie GmbH
-14-08  :Eka Systems Inc.
-14-02  :kk-electronic a/s
-14-01  :Rivertree Networks Corp.
-13-FB  :RKC INSTRUMENT INC.
-13-F4  :Psitek (Pty) Ltd
-13-EF  :Kingjon Digital Technology Co.,Ltd
-11-F7  :Shenzhen Forward Industry Co., Ltd
-11-F2  :Institute of Network Technologies
-11-EB  :Innovative Integration
-11-E6  :Scientific Atlanta
-11-E5  :KCodes Corporation
-11-DF  :Current Energy
-11-D3  :NextGenTel Holding ASA
-11-0E  :Tsurusaki Sealand Transportation Co. Ltd.
-11-15  :EPIN Technologies, Inc.
-11-14  :EverFocus Electronics Corp.
-11-07  :RGB Networks Inc.
-11-08  :Orbital Data Corporation
-11-02  :Aurora Multimedia Corp.
-0F-FC  :Merit Li-Lin Ent.
-0F-DA  :YAZAKI CORPORATION
-0F-F3  :Jung Myoung Communications&Technology
-11-A2  :Manufacturing Technology Inc
-11-9B  :Telesynergy Research Inc.
-11-8C  :Missouri Department of Transportation
-11-91  :CTS-Clima Temperatur Systeme GmbH
-11-8B  :Alcatel-Lucent, Enterprise Business Group
-11-96  :Actuality Systems, Inc.
-11-79  :Singular Technology Co. Ltd.
-11-72  :COTRON CORPORATION
-11-66  :Taelim Electronics Co., Ltd.
-11-6B  :Digital Data Communications Asia Co.,Ltd
-11-6C  :Nanwang Multimedia Inc.,Ltd
-11-62  :STAR MICRONICS CO.,LTD.
-11-61  :NetStreams, LLC
-11-55  :Sevis Systems
-11-5C  :Cisco Systems, Inc
-11-47  :Secom-Industry co.LTD.
-11-4C  :caffeina applied research ltd.
-12-74  :NIT lab
-12-7A  :Sanyu Industry Co.,Ltd.
-12-6D  :University of California, Berkeley
-12-68  :IPS d.o.o.
-12-67  :Panasonic Corporation
-12-61  :Adaptix, Inc
-12-57  :LeapComm Communication Technologies Inc.
-12-22  :Skardin (UK) Ltd
-12-27  :Franklin Electric Co., Inc.
-12-1B  :Sound Devices, LLC
-12-21  :B.Braun Melsungen AG
-12-14  :Koenig & Bauer AG
-12-0F  :IEEE 802.3
-12-08  :Gantner Instruments GmbH
-12-01  :Cisco Systems, Inc
-12-02  :Decrane Aerospace - Audio International Inc.
-11-C7  :Raymarine UK Ltd
-11-CC  :Guangzhou Jinpeng Group Co.,Ltd.
-11-B5  :Shenzhen Powercom Co.,Ltd
-11-BA  :Elexol Pty Ltd
-11-C1  :4P MOBILE DATA PROCESSING
-11-A8  :Quest Technologies
-11-A7  :Infilco Degremont Inc.
-12-50  :Tokyo Aircaft Instrument Co., Ltd.
-12-4B  :Texas Instruments
-12-44  :Cisco Systems, Inc
-12-38  :SetaBox Technology Co., Ltd.
-12-3D  :GES Co, Ltd
-12-3E  :ERUNE technology Co., Ltd.
-12-2C  :Soenen Controls N.V.
-12-31  :Motion Control Systems, Inc.
-11-46  :Telecard-Pribor Ltd
-11-40  :Nanometrics Inc.
-11-39  :STOEBER ANTRIEBSTECHNIK GmbH + Co. KG.
-11-3A  :SHINBORAM
-11-34  :MediaCell, Inc.
-11-27  :TASI, Inc
-11-2A  :Niko NV
-11-21  :Cisco Systems, Inc
-0E-BB  :Everbee Networks
-0E-B4  :GUANGZHOU GAOKE COMMUNICATIONS TECHNOLOGY CO.LTD.
-0E-AE  :GAWELL TECHNOLOGIES CORP.
-0E-A8  :United Technologists Europe Limited
-0E-AD  :Metanoia Technologies, Inc.
-0E-A1  :Formosa Teletek Corporation
-0E-9C  :Benchmark Electronics 
-0E-9B  :Ambit Microsystems Corporation
-0E-8E  :SparkLAN Communications, Inc.
-0E-95  :Fujiya Denki Seisakusho Co.,Ltd.
-0F-C1  :WAVE Corporation
-0F-C8  :Chantry Networks
-0F-C7  :Dionica R&D Ltd.
-0F-BA  :Tevebox AB
-0F-A7  :Raptor Networks Technology
-0F-AE  :E2O Communications
-0F-A8  :Photometrics, Inc.
-0F-9A  :Synchrony, Inc.
-0F-A2  :2xWireless
-0E-89  :CLEMATIC
-0E-82  :Commtech Wireless
-0E-7C  :Televes S.A.
-0E-76  :GEMSOC INNOVISION INC.
-0E-6E  :MAT S.A. (Mircrelec Advanced Technology)
-0E-72  :CTS electronics
-0E-68  :E-TOP Network Technology Inc.
-0E-67  :Eltis Microelectronics Ltd.
-0F-E7  :Lutron Electronics Co., Inc.
-0F-EC  :ARKUS Inc.
-0F-E0  :NComputing Co.,Ltd.
-0F-D4  :Soundcraft
-0F-D9  :FlexDSL Telecommunications AG
-0E-EA  :Shadong Luneng Jicheng Electronics,Co.,Ltd
-0E-DD  :SHURE INCORPORATED
-0E-E4  :BOE TECHNOLOGY GROUP CO.,LTD
-0E-D8  :Positron Access Solutions Corp
-0E-CD  :SKOV A/S
-0E-CE  :S.I.T.T.I. S.p.A.
-0E-D3  :Epicenter, Inc.
-0E-C7  :Motorola Korea
-0F-93  :Landis+Gyr Ltd.
-0F-94  :Genexis BV
-0F-8E  :DONGYANG TELECOM CO.,LTD.
-0F-87  :Maxcess International
-0F-82  :Mortara Instrument, Inc.
-0F-81  :PAL Pacific Inc.
-0F-74  :Qamcom Technology AB
-0F-7B  :Arce Sistemas, S.A.
-0F-68  :Vavic Network Technology, Inc.
-0F-6F  :FTA Communication Technologies
-0F-62  :Alcatel Bell Space N.V.
-0F-5C  :Day One Digital Media Limited
-0F-55  :Datawire Communication Networks Inc.
-0F-49  :Northover Solutions Limited
-0F-50  :StreamScale Limited
-0F-42  :Xalyo Systems
-0F-1C  :DigitAll World Co., Ltd
-0F-0A  :Clear Edge Networks
-0F-09  :Private
-0F-03  :COM&C CO., LTD
-0E-F7  :Vulcan Portals Inc
-0E-FC  :JTAG Technologies B.V.
-0E-E9  :WayTech Development, Inc.
-0E-F0  :Festo AG & Co. KG
-0F-35  :Cisco Systems, Inc
-0F-2E  :Megapower International Corp.
-0F-29  :Augmentix Corporation
-0F-22  :Helius, Inc.
-0F-0F  :Real ID Technology Co., Ltd.
-0F-16  :JAY HOW TECHNOLOGY CO.,
-0F-1B  :Ego Systems Inc.
-0D-74  :Sand Network Systems, Inc.
-0D-7B  :Consensys Computers Inc.
-0D-6E  :K-Patents Oy
-0D-68  :Vinci Systems, Inc.
-0D-6D  :K-Tech Devices Corp.
-0D-5B  :Smart Empire Investments Limited
-0D-5C  :Robert Bosch GmbH, VT-ATMO
-0D-61  :Giga-Byte Technology Co., Ltd.
-0D-55  :SANYCOM Technology Co.,Ltd
-0D-49  :Triton Systems of Delaware, Inc.
-0D-4E  :NDR Co.,LTD.
-0E-5B  :ParkerVision - Direct2Data
-0E-55  :AUVITRAN
-0E-56  :4G Systems GmbH & Co. KG
-0E-4F  :Trajet GmbH
-0E-48  :Lipman TransAction Solutions
-0E-43  :G-Tek Electronics Sdn. Bhd.
-0E-34  :NexGen City, LP
-0E-3B  :Hawking Technologies, Inc.
-0E-2F  :Roche Diagnostics GmbH
-0D-FB  :Komax AG
-0D-E9  :Napatech Aps
-0D-EE  :Andrew RF Power Amplifier Group
-0D-E2  :CMZ Sistemi Elettronici
-0D-DC  :VAC
-0D-D6  :ITI    LTD
-0D-DB  :AIRWAVE TECHNOLOGIES INC.
-0D-CA  :Tait Electronics
-0D-CF  :Cidra Corp.
-0E-28  :Dynamic Ratings P/L
-0E-22  :Private
-0E-21  :MTU Friedrichshafen GmbH
-0E-15  :Tadlys LTD
-0E-1C  :Hach Company
-0E-0D  :Hesch SchrÃ¶der GmbH
-0E-10  :C-guys, Inc.
-0D-F5  :Teletronics International Inc.
-0D-FC  :ITFOR Inc.
-0E-01  :ASIP Technologies Inc.
-0C-F0  :M & N GmbH
-0C-F5  :InfoExpress
-0C-E0  :Trek Diagnostics Inc.
-0C-E4  :NeuroCom International, Inc.
-0C-E9  :BLOOMBERG L.P.
-0C-CE  :Cisco Systems, Inc
-0C-D4  :Positron Public Safety Systems inc.
-0C-CD  :IEC - TC57
-0D-15  :Voipac s.r.o.
-0D-16  :UHS Systems Pty Ltd
-0D-1B  :Kyoto Electronics Manufacturing Co., Ltd.
-0D-0F  :Finlux Ltd
-0D-03  :Matrics, Inc.
-0D-08  :AboveCable, Inc.
-0C-FC  :S2io Technologies Corp
-0C-F6  :Sitecom Europe BV
-0D-A3  :Emerging Technologies Limited
-0D-9C  :Elan GmbH & Co KG
-0D-96  :Vtera Technology Inc.
-0D-95  :Opti-cell, Inc.
-0D-90  :Factum Electronics AB
-0D-89  :Bils Technology Inc
-0D-80  :Online Development Inc
-0D-C9  :THALES Elektronik Systeme GmbH
-0D-C3  :First Communication, Inc.
-0D-BC  :Cisco Systems, Inc
-0D-B7  :SANKO ELECTRIC CO,.LTD
-0D-B0  :Olym-tech Co.,Ltd.
-0D-A8  :Teletronics Technology Corporation
-0D-41  :Siemens AG ICM MP UC RD IT KLF1
-0D-3A  :Microsoft Corp.
-0D-35  :PAC International Ltd
-0D-2E  :Matsushita Avionics Systems Corporation
-0D-28  :Cisco Systems, Inc
-0D-22  :Unitronics LTD
-0D-27  :MICROPLEX Printware AG
-0C-21  :Faculty of Science and Technology, Keio University
-0C-11  :NIPPON DEMPA CO.,LTD.
-0C-10  :PNI Corporation
-0C-12  :Micro-Optronic-Messtechnik GmbH
-0C-17  :AJA Video Systems Inc
-0C-04  :Tecnova
-0C-0B  :Broadbus Technologies
-0B-F8  :Infinera
-0B-FF  :Berkeley Camera Engineering
-0B-EC  :NIPPON ELECTRIC INSTRUMENT, INC.
-0B-B8  :Kihoku Electronic Co.
-0B-BD  :Connexionz Limited
-0B-AD  :PC-PoS Inc.
-0B-A0  :T&L Information Inc.
-0B-A7  :Maranti Networks
-0B-AC  :3Com Ltd
-0B-93  :Ritter Elektronik
-0B-98  :NiceTechVision
-0B-9B  :Sirius System Co, Ltd.
-0B-8C  :Flextronics
-0B-F1  :LAP Laser Applikations
-0B-DF  :Shenzhen RouterD Networks Limited
-0B-DE  :TELDIX GmbH
-0B-E0  :SercoNet Ltd.
-0B-E5  :HIMS International Corporation
-0B-D9  :General Hydrogen
-0B-AE  :Vitals System Inc.
-0B-D0  :XiMeta Technology Americas Inc.
-0B-D5  :Nvergence, Inc.
-0B-C4  :BIOTRONIK GmbH & Co
-0B-C9  :Electroline Equipment
-0B-B1  :Super Star Technology Co., Ltd.
-0B-B6  :Metalligence Technology Corp.
-0B-79  :X-COM, Inc.
-0B-80  :Lycium Networks
-0B-87  :American Reliance Inc.
-0B-6D  :SOLECTRON JAPAN NAKANIIDA
-0B-74  :Kingwave Technology Co., Ltd.
-0B-67  :Topview Technology Corporation
-0B-61  :Friedrich LÃ¼tze GmbH & Co. KG
-0B-66  :Teralink Communications
-0B-68  :Addvalue Communications Pte Ltd
-0B-58  :Astronautics C.A  LTD
-0B-50  :Oxygnet
-0B-44  :Concord IDea Corp.
-0B-49  :RF-Link System Inc.
-0B-4B  :VISIOWAVE SA
-0B-31  :Yantai ZhiYang Scientific and technology industry CO., LTD
-0B-3D  :CONTAL OK Ltd.
-0B-38  :KnÃ¼rr GmbH
-0B-2A  :HOWTEL Co., Ltd.
-0B-2C  :Eiki Industrial Co. Ltd.
-0C-97  :NV ADB TTV Technologies SA
-0C-9C  :Chongho information & communications
-0C-9E  :MemoryLink Corp.
-0C-89  :AC Electric Vehicles, Ltd.
-0C-8B  :Connect Tech Inc
-0C-90  :Octasic Inc.
-0C-84  :Eazix, Inc.
-0C-75  :Oriental integrated electronics. LTD
-0C-77  :Life Racing Ltd
-0C-7C  :Internet Information Image Inc.
-0C-43  :Ralink Technology, Corp.
-0C-45  :Animation Technologies Inc.
-0C-3C  :MediaChorus, Inc.
-0C-32  :Avionic Design Development GmbH
-0C-35  :KaVo Dental GmbH & Co. KG
-0C-2B  :ELIAS Technology, Inc.
-0C-28  :RIFATRON
-0C-1C  :MicroWeb Co., Ltd.
-0C-64  :X2 MSA Group
-0C-69  :National Radio Astronomy Observatory
-0C-70  :ACC GmbH
-0C-51  :Scientific Technologies Inc.
-0C-56  :Megatel Computer (1986) Corp.
-0C-58  :M&S Systems
-0C-5D  :CHIC TECHNOLOGY (CHINA) CORP.
-0C-4A  :Cygnus Microsystems (P) Limited
-0C-C8  :Xytronix Research & Design, Inc.
-0C-BB  :ISKRAEMECO
-0C-B5  :Premier Technolgies, Inc
-0C-BC  :Iscutum
-0C-A3  :Rancho Technology, Inc.
-0C-AA  :Cubic Transportation Systems Inc
-0A-38  :Apani Networks
-0A-3F  :Data East Corporation
-0A-44  :Avery Dennison Deutschland GmbH
-0A-46  :ARO WELDING TECHNOLOGIES SAS
-0A-33  :Emulex Corporation
-0A-31  :HCV Consulting
-0A-2C  :Active Tchnology Corporation
-42-52  :RLX Technologies
-0A-2A  :QSI Systems Inc.
-0A-1E  :Red-M Products Limited
-0A-23  :Parama Networks Inc
-0A-17  :NESTAR COMMUNICATIONS, INC
-0A-1C  :Bridge Information Co., Ltd.
-0B-19  :Vernier Networks, Inc.
-0B-1E  :KAPPA opto-electronics GmbH
-0B-25  :Aeluros
-0B-17  :MKS Instruments
-0B-12  :NURI Telecom Co., Ltd.
-0B-0B  :Corrent Corporation
-0A-FA  :Traverse Technologies Australia
-0A-FF  :Kilchherr Elektronik AG
-0A-F3  :Cisco Systems, Inc
-0A-F8  :American Telecare Inc.
-0A-EE  :GCD Hard- & Software GmbH
-0A-06  :Teledex LLC
-0A-09  :TaraCom Integrated Products, Inc.
-0A-0B  :Sealevel Systems, Inc.
-0A-10  :FAST media integrations AG
-09-F7  :SED, a division of Calian
-0A-01  :SOHOware, Inc.
-09-E9  :Cisco Systems, Inc
-09-F0  :Shimizu Technology Inc.
-09-EA  :YEM Inc.
-09-E4  :K Tech Infosystem Inc.
-09-D8  :FÃ¤lt Communications AB
-09-DD  :Mavin Technology Inc.
-09-B1  :Kanematsu Electronics, Ltd.
-09-A3  :Leadfly Techologies Corp. Ltd.
-09-AA  :Data Comm for Business, Inc.
-09-A4  :HARTEC Corporation
-09-9E  :Testech, Inc.
-09-92  :InterEpoch Technology,INC.
-09-91  :GE Fanuc Automation Manufacturing, Inc.
-09-8B  :Entropic Communications, Inc.
-0A-B0  :LOYTEC electronics GmbH
-0A-B7  :Cisco Systems, Inc
-0A-A4  :SHANGHAI SURVEILLANCE TECHNOLOGY CO,LTD
-0A-A9  :Brooks Automation GmbH
-0A-91  :HemoCue AB
-0A-9D  :King Young Technology Co. Ltd.
-0A-8C  :Guardware Systems Ltd.
-0A-97  :SONICblue, Inc.
-0A-7D  :Valo, Inc.
-0A-84  :Rainsun Enterprise Co., Ltd.
-0A-89  :Creval Systems, Inc.
-09-D7  :DC Security Products
-09-CA  :iMaxNetworks(Shenzhen)Limited.
-09-D1  :SERANOA NETWORKS INC
-09-C5  :KINGENE Technology Corporation
-09-BD  :Epygi Technologies, Ltd.
-09-B6  :Cisco Systems, Inc
-09-7F  :Vsecure 2000 LTD.
-09-84  :MyCasa Network Inc.
-09-71  :Time Management, Inc.
-09-78  :AIJI System Co., Ltd.
-09-72  :Securebase,Inc
-09-6C  :Imedia Semiconductor Corp.
-09-65  :HyunJu Computer Co., Ltd.
-09-60  :YOZAN Inc.
-09-56  :Network Systems Group, Ltd. (NSG)
-09-55  :Young Generation International Corp.
